Source;Target;Type;weight
ZHENGZHOU UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
ZHEJIANG GONGSHANG UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
ZENTRUM FUR EUROPAISCHE WIRTSCHAFTSFORSCHUNG (ZEW);REV INT ORGAN;directed;1
ZAYED UNIVERSITY;CONTEMP SE ASIA;directed;2
ZAGREB SCH ECON & MANAGEMENT;COMMON MKT LAW REV;directed;1
YUSOF ISHAK INST;J CURR SE ASIAN AFF;directed;1
YUNNAN UNIVERSITY;CHIN J INT POLIT;directed;1
YUNNAN UNIVERSITY;CONTEMP SE ASIA;directed;1
YUNNAN UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
YORK UNIVERSITY - CANADA;INT J-TORONTO;directed;2
YORK UNIVERSITY - CANADA;COMMON MKT LAW REV;directed;1
YORK UNIVERSITY - CANADA;ASIAN PERSPECT-SEOUL;directed;1
YONSEI UNIVERSITY;REV INT ORGAN;directed;1
YONSEI UNIVERSITY;J PEACE RES;directed;1
YONSEI UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
YOKOSUKA COUNCIL ASIA PACIFIC STUDIES;CONTEMP SE ASIA;directed;1
YNU INST INDIA STUDIES KUNMING;ASIAN PERSPECT-SEOUL;directed;1
YILDIZ TECHNICAL UNIVERSITY;ULUSLAR ILISKILER;directed;1
YILDIRIM BEYAZIT UNIVERSITY;ULUSLAR ILISKILER;directed;2
YEDITEPE UNIVERSITY;ULUSLAR ILISKILER;directed;2
YASAR UNIVERSITY;ULUSLAR ILISKILER;directed;1
YALE UNIVERSITY;REV INT ORGAN;directed;2
YALE UNIVERSITY;J PEACE RES;directed;2
YALE UNIVERSITY;CONTEMP SE ASIA;directed;1
XINJIANG UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
XIAMEN UNIVERSITY;CONTEMP SE ASIA;directed;1
XIAMEN UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;2
XI'AN JIAOTONG-LIVERPOOL UNIVERSITY;J INT RELAT DEV ;directed;1
WZB BERLIN SOCIAL SCI CTR;REV INT ORGAN;directed;2
WZB BERLIN SOCIAL SCI CTR;J PEACE RES;directed;1
WUHAN UNIVERSITY;CHIN J INT POLIT;directed;2
WUHAN UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
WUHAN UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
WTO,;ASIAN J WTO INT HEAL;directed;1
WORLD RESOURCES INST,;ASIAN PERSPECT-SEOUL;directed;1
WORLD REFUGEE & MIGRAT COUNCIL,;INT J-TORONTO;directed;1
WORLD POLIT;CHIN J INT POLIT;directed;1
WORLD FEDERALIST MOVEMENT CANADA;INT J-TORONTO;directed;1
WOOSONG UNIVERSITY;INT J-TORONTO;directed;1
WOODROW WILSON INT CTR SCHOLARS;ASIAN PERSPECT-SEOUL;directed;2
WONG MNC CTR;ASIAN PERSPECT-SEOUL;directed;1
WITTEN HERDECKE UNIV;J PEACE RES;directed;1
WILLIAM & MARY;REV INT ORGAN;directed;1
WILLIAM & MARY;CHIN J INT POLIT;directed;1
WILLIAM & MARY;J INT RELAT DEV ;directed;1
WILFRID LAURIER UNIVERSITY;INT J-TORONTO;directed;2
WIDYA GRAHA;CONTEMP SE ASIA;directed;1
WIDYA GRAHA;CONTEMP SE ASIA;directed;1
WHEATON COLL;CONTEMP SECUR POL;directed;1
WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO);INT J-TORONTO;directed;4
WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO);REV BRAS POLIT INT;directed;1
WESTERN SYDNEY UNIVERSITY;J CURR SE ASIAN AFF;directed;1
WESTERN NEW MEXICO UNIV;J PEACE RES;directed;1
WESTERN MICHIGAN UNIVERSITY;INT J-TORONTO;directed;1
WEST VIRGINIA UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
